"das_id","contents_name","sub_title","broadcast_date","details","category","type","still_flag","dougaflag","act_id","url","first_release_date","versionno","domestic"
"D0009010050_00000","特集ドラマ　居留地ランプ",,1954,"慶応元年、横浜の街道で江戸を目指す男2人が腹をすかせていた。そこへ身なりのよい若い女性が強盗から逃れてきた。男たちは強盗から女性を救い、そのお礼にと女性の家で食事をもてなしてもらう。女性の暮らしぶりは","連続ドラマ,特集","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010050_00000",1954-11-03T19:30:00,1,0
"D0009010051_00000","ドラマ　風光る",,1954,"兄の結婚が決まったが、家が小さいので両親との同居は無理。しかし、借家もなかなか見つからない。そこで大学は怠けてばかりだが、手先が器用で、人との交渉事も得意な弟が一肌脱ぐことに。まず車の修理をしてあげた","連続ドラマ,特集","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010051_00000",1954-11-24T20:30:00,1,0
"D0009010059_00000","ドラマ　おふくろ",,1955,"常に息子をそばに置きたい母、自立を目指す息子、明るい妹が、肩を寄せ合って暮らす小さな家では、何気ない日常のおしゃべりやいさかいが繰り広げられてきた。ある夜、不意に訪れた客は息子が家庭教師をしていた生徒","連続ドラマ,特集","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010059_00000",1955-03-18T20:00:00,1,0
"D0009010062_00000","ドラマ　五文叩き",,1956,"じいさんとばあさんが構える剣道場は貧しくて門下生が一人もいない。そこに、腹をすかせた浪人風の男がやってきた。その男の知恵で、「竹刀一たたき五文」という商売を始めて剣道場は繁盛、やがて「五文たたき」の客","連続ドラマ,特集","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010062_00000",1956-02-02T20:00:00,1,0
"D0009010064_00000","特集ドラマ　獣の行方",,1957,"戸田鉄夫（平幹二朗）は、「グズ鉄」とあだ名されるおとなしい青年。兄は1年前、疑獄事件で上役の責を負って検挙され、不可解な死を遂げた。一周忌の夜、鉄夫は兄の遺品の手帳を開き、「この三人が俺を殺した」とい","連続ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010064_00000",1957-10-28T20:30:00,1,0
"D0009010065_00000","特集ドラマ　石の庭",,1957,"室町時代、応仁の乱後の京都を舞台に、龍安寺の石庭にまつわる兄弟愛と封建社会の階級制をえぐり出したドラマ。久米明が庭師兄弟の兄を演じる。1時間の生放送でカメラが2台のみという限られた条件での制作。演出は","連続ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010065_00000",1957-11-22T21:00:00,2,0
"D0009010069_00000","バス通り裏",,"1958-1962","NHK初の本格的な「連続ドラマ」。（月～金）午後7時のニュースに続く15分番組。1960年度より（月～土）放送。高校の国語教師と隣の美容院の一家を舞台に、市井の人々の何気ない日常生活を描くホームドラマ","連続ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010069_00000",1958-04-07T19:15:00,1,0
"D0009010070_00000","事件記者","第８話　影なき男　前編","1958-1965","テレビドラマ草創期の大ヒット作。舞台は警視庁にある記者クラブ。スクープを求めて取材活動を繰り広げる記者たちの人間模様を描き、いわゆる記者ものブームの先駆けとなった。「東京日報」の相沢キャップ、八田老人","連続ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010070_00000",1958-07-09T21:00:00,1,0
"D0009010074_00000","ホームラン教室","第５１回　元気出せ１６番！","1959-1962","東京タワーが校庭から見える、丘の上小学校6年生が作った野球チーム「丘の上ホーマーズ」。チームのメンバーを主人公に、その家庭と学校で起こる出来事を楽しく描いた。総合（土）午後6時台の30分枠でスタート。","連続ドラマ","program",1,0,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010074_00000",1959-10-10T18:07:00,4,0
"D0009010078_00000","ＮＨＫテレビ映画　灰色のシリーズ　紙の牙",,1960,"「灰色のシリーズ」は第一線推理作家の代表作や一流作家の異色作を取り上げ、ロケによる機動力を利用して作り上げた、テレビ映画独自の推理ドラマシリーズである。松本清張原作の「紙の牙」もその一つ。","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010078_00000",1960-06-15T20:30:00,1,0
"D0009010085_00000","連続テレビ小説　娘と私","最終回",1961,"昭和初期から戦後、フランス人の先妻との間に生まれた一人娘が結婚するまでを見守る「私」の自叙伝。娘の成長を通して、芸術を仕事とする「私」のかっとうや娘との関係性、新しく迎えた妻とのすれ違いなどを丹念に描","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010085_00000",1962-03-30T08:40:00,1,0
"D0009010086_00000","テレビ指定席　海を渡る人々",,1961,"「テレビ指定席」は１９６０年代前半、社会の片隅に生きる庶民にスポットを当てたドラマで、お茶の間の人気を博した。戦後、増え続ける日本の人口を支えるだけの、経済的基盤がなかった時代。離職を余儀なくされた男","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010086_00000",1961-12-09T20:30:00,1,0
"D0009010087_00000","テレビ指定席　あしあと",,1961,"広島で被ばくしたある家族の、戦中戦後の２０年近い「あしあと」をつづるオール・フィルムのドラマ。父親の転勤で、一家は和歌山から広島に移り住む。家族で過ごすつかの間の平穏な日々。しかし、１９４５年（昭和２","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010087_00000",1961-08-06T22:35:00,3,0
"D0009010095_00000","連続テレビ小説　あしたの風","最終回",1962,"舞台は瀬戸内の小豆島。安江と文吉夫婦のところに姪（めい）の音枝や孤児の文吉らが身を寄せる。安江の姿を通して、人々の愛と善意を描いた。壺井栄の短編「風」「右文覚え書」「母のない子と子のない母と」「ともし","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010095_00000",1962-04-02T08:15:00,1,0
"D0009010096_00000","特集ドラマ　おはなはん一代記",,1962,"明治、大正、昭和と、時代と共に生き希望を失わずに常に明るく周りの人々に生きる喜びを与えた一人の女性。その平凡だが美しい人生を描く単発ドラマ。ヒロインは森光子。第17回芸術祭奨励賞受賞、第1回NHKテレ","連続ドラマ,特集","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010096_00000",1962-11-02T20:00:00,1,0
"D0009010097_00000","中学生次郎","第２７回　人間の価値",1962,"1962年度当時、激増していた高校受験生の問題を教育と社会の両面からとらえてドラマ化。さらに受験生の母親を対象に解説をつけ、中学生の生活指導の参考としてもらった。総合（土）午前9時からの30分番組。名","少年ドラマ,　","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010097_00000",1962-10-06T09:00:00,1,0
"D0009010102_00000","連続テレビ小説　あかつき","第２３５回",1963,"大学教授の職を捨て、画業に打ち込む佐田正之助と、彼を見守る妻や子供たちの愛情と信頼に満ちた家族像を通して、日本人の生き方を描いた。武者小路実篤の小説「幸福な家族」をベースに、一連の家族ものをひとつにま","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010102_00000",1964-01-04T08:15:00,1,0
"D0009010103_00000","大河ドラマ　花の生涯","第１回　青柳の糸",1963,"のちに大河ドラマとよばれるようになった大型娯楽時代劇の記念すべき第1作。激動の幕末を舞台に、攘夷（じょうい）論に反対しあくまでも開国を主張し、桜田門外で水戸浪士の襲撃をうけて果てた大老・井伊直弼。彼の","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010103_00000",1963-04-07T20:45:00,1,0
"D0009010104_00000","テレビ指定席　海の畑",,1962,"かつて東京湾では海苔（のり）養殖が盛んに行われていた。しかし、東京湾の埋め立てが進み、代々「海苔作り」を営んでいた家族にも選択が迫られる。「海苔作りの達人」と呼ばれ、あくまで、海苔を作り続けることを望","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010104_00000",1963-01-19T20:00:00,1,0
"D0009010105_00000","テレビ指定席　ドブネズミ色の街",,1963,"高度成長下の東京の下町を舞台に、密集したバラック街に住む小学校６年生の子どもたちがたくましく生きる姿を通して、右肩上がりの時代の希望を描く。オールフィルムロケ作品。深町幸男の演出処女作品。第４回モンテ","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010105_00000",1963-12-28T20:00:00,1,0
"D0009010112_00000","連続テレビ小説　うず潮","第３０９回",1964,"貧しい生活にもくじけず、明るくたくましく生き抜き、戦後、作家になる夢に情熱を燃やし続けたフミ子。親孝行を忘れず、恋人への慕情を残しながらも夫との愛情を育て、作家として大成するまでの波乱万丈の人生を描い","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010112_00000",1965-04-02T08:15:00,1,0
"D0009010113_00000","大河ドラマ　赤穂浪士","「討入り」","1963-1964","赤穂藩の筆頭家老・大石内蔵助を中心に、主君の恨みを晴らそうとする四十七士の忍耐と苦渋の人間模様を描いた。歌舞伎、映画、新劇のベテラン俳優を起用し、原作の同名小説に忠実に、かつ新たな史観を加えた。重厚な","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010113_00000",1964-11-22T21:30:00,2,0
"D0009010117_00000","連続テレビ小説　たまゆら",,1965,"退職後の第二の人生の門出にと「古事記」を手に旅に出る直木良彦。宮崎、京都、鎌倉など神話や歴史に縁有る町を舞台に、退職後の良彦の心の揺れ動きや妻との関係、子どもたちの仕事や恋、結婚など、家族それぞれが幸","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010117_00000",1965-04-05T08:15:00,1,0
"D0009010118_00000","大河ドラマ　太閤記","本能寺","1964-1965","豊臣秀吉が織田信長の家来から天下人になるまでを生き生きと描いた“人間秀吉”の物語。城の石垣の積み方や侍の給料のもらい方などの雑学的知識を紹介したり、物語の舞台を現代風景で見せるなど、吉田直哉による斬新","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010118_00000",1965-10-17T20:15:00,2,0
"D0009010119_00000","宇宙人ピピ","第３７回",1965,"かわいい宇宙人ピピが、宇宙漫遊の間に地球に迷い込み、ふとしたことから東京の下町に住みつくゆかいなSF物語。アニメーションで描いた宇宙人と実写による人物を合成する新しい技術を使い、子ども番組に新境地を開","少年ドラマ,人形劇","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010119_00000",1965-04-08T18:00:00,1,0
"D0009010123_00000","連続テレビ小説　おはなはん","第１回",1966,"底抜けの明るさとユーモアを持った女性・浅尾はな。愛称おはなはん。女学校卒業を機に軍人と結婚し子どもも生まれたが、夫が病死したことで、はなは医学を志し助産師となる。2人の子どもを育てながら、明治、大正、","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010123_00000",1966-04-04T08:15:00,1,0
"D0009010124_00000","横堀川","序回",1966,"山崎豊子の原作「暖簾」「花のれん」などの複数の作品を基に、茂木草介が脚本を書き下ろした大阪局制作の連続ドラマ。明治、大正、昭和の大阪市船場を舞台に、夫を失い寄席稼業に打ち込む女商人のたくましい姿を描く","連続ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010124_00000",1966-04-04T21:40:00,2,0
"D0009010125_00000","特集ドラマ　わが心のかもめ",,1965,"ミュージカル初挑戦の加藤剛と20歳の吉永小百合が主演、翌年に劇団天井桟敷を旗揚げすることになる寺山修司が脚本を担当。音楽・山本直純、演出・岡崎栄で放送記念祭特集として放送されたミュージカル・ドラマ。劣","連続ドラマ,特集","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010125_00000",1966-03-22T20:00:00,1,0
"D0009010126_00000","ＮＨＫ劇場　大市民",,1966,"高度経済成長期、１９６０年代の人々の家族の生活を描く。舞台は当時誕生しつつあった大規模住宅団地・ニュータウン。誰もがテレビ、洗濯機、冷蔵庫の三種の神器に憧れていた時代。ある家族と人々とが織り成す人間関","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010126_00000",1966-11-24T21:40:00,1,0
"D0009010130_00000","連続テレビ小説　旅路",,1967,"幼い頃から鉄道にあこがれ国鉄職員として生きた室伏雄一郎と妻・有里。愛情深い夫婦を中心に2人をとりまく人々の群像を織り交ぜながら、北海道、東京、大阪、京都、三重を舞台にして、大正から昭和にかけた変動期を","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010130_00000",1967-04-03T08:15:00,1,0
"D0009010131_00000","大河ドラマ　三姉妹","三姉妹（１９）","1966-1967","明治100年を迎える年に合わせ、幕末の動乱から明治維新までの時代を取り上げ、幕臣旗本の薄幸な三姉妹と純粋で反骨精神のおうせいな浪人・青江金五郎の、運命の変転を軸に描いた。歴史上の人物と、虚構の人物を取","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010131_00000",1967-05-07T20:15:00,2,0
"D0009010132_00000","金曜ドラマ　文五捕物絵図","第１２回　武州糸くり唄","1967-1968","江戸天保年間、神田天神下に住む岡っ引き・文五の活躍を描く捕物帳。当時若手作家だった杉山義法、倉本聰らと和田勉ら若手演出家が組み、集団捜査を基調とするこれまでにない捕物スタイルで、現代に通じる人間ドラマ","連続ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010132_00000",1967-04-07T19:59:59,1,0
"D0009010137_00000","連続テレビ小説　あしたこそ","第３１５回（最終回）",1968,"大学入学、卒業、就職、結婚と、壁にぶつかりながらも、人一倍のファイトと行動力をもって成長していこうとする香原摂子。そんな娘に理解を示すうちに、いつしかひとりの女性として生きる知恵を得ていく母。世代の異","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010137_00000",1969-04-05T08:15:00,1,0
"D0009010138_00000","大河ドラマ　竜馬がゆく","竜馬がゆく　第１６回","1967-1968","幕末の風雲児・坂本竜馬の短くも激しく燃えた生涯を描く。土佐藩を脱藩した竜馬は、貿易商社・海援隊を設立。対立する人々の仲立ちに奔走し、薩長連合を成立させ、ついには徳川慶喜に大政奉還を決断させる。主人公の","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010138_00000",1968-04-21T20:15:00,2,0
"D0009010139_00000","ＮＨＫ劇場　写楽はどこへ行った",,1968,"江戸随一の版元（出版社）、蔦谷（つたや）重三郎の下に、風呂敷に包んだ原稿を持ち込んだ男。これまでにない迫力のある役者絵（やくしゃえ）で浮世絵師・写楽として世に出る。当たりに当たって得意満面の蔦重（つた","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010139_00000",1968-08-22T21:40:00,0,0
"D0009010146_00000","連続テレビ小説　信子とおばあちゃん",,1969,"陽気で行動的な小宮山信子は、教師を目指していたが、不慮の事故から大学受験を断念。その後上京し、明治生まれのおばあちゃんや周囲の人たちに励まされながら、逆境を耐え抜き、強く明るく生きていく。年齢が離れた","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010146_00000",1969-04-07T08:15:00,1,0
"D0009010147_00000","大河ドラマ　天と地と","川中島の章（４）","1968-1969","戦国の動乱の時代を背景に、川中島で戦った上杉謙信と武田信玄。両名将の対比を中心に据えて、人間が生きていくことの「すばらしさ」と「むなしさ」を描いた。初のカラー放送に対応するため、セットや小道具などが大","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010147_00000",1969-12-14T20:44:59,2,0
"D0009010148_00000","ＮＨＫ劇場　三十六人の乗客",,1969,"東京から上信越に向かう深夜のスキーバスに紛れ込んだ強盗犯は誰か？　犯人を逮捕すべく乗車した刑事の思惑を超えて、乗客たちはそれぞれ勝手に行動し、事件は意外な結末を迎える。閉じこめられた集団の中で揺れ動く","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010148_00000",1969-04-03T21:40:00,1,0
"D0009010157_00000","連続テレビ小説　虹",,1970,"大学講師の三谷かな子は、戦時中、病弱で世間の脚光をあびることを好まない考古学者の夫と4人の子どもを抱えて疎開。節約を家訓とする夫の父母のもとで、豆腐の切り方まで指図をうけるような日々を過ごす。戦後は家","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010157_00000",1970-04-06T08:15:00,1,0
"D0009010158_00000","大河ドラマ　樅ノ木は残った","総集編　第１部","1969-1970","江戸前期、仙台藩で起きた伊達騒動を、独自の新解釈でつづった同名小説をドラマ化。命を懸けて伊達62万石の安泰を図った仙台藩家老・原田甲斐の苦悩と信念を貫く姿を描いた。吉永小百合と栗原小巻が対照的な女性を","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010158_00000",1970-01-04T19:59:59,3,0
"D0009010159_00000","特集ドラマ　マザー",,1970,"捨てられたのか亡くなったのか、母親のいない少年ケン。神戸を一人さまようケンが偶然出会った人々との会話や交流を通して、人のぬくもりや母親のイメージを求める少年の姿を詩情豊かに描いた。構成・演出は佐々木昭","連続ドラマ,特集","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010159_00000",1970-08-08T22:10:00,1,0
"D0009010160_00000","特集ドラマ　雪国",,1970,"ノーベル賞作家、川端康成の長編小説「雪国」をドラマ化。閉ざされた厳しい雪の風土の中で、燃え上がる男女の愛の虚しさを描く。新潟県大潟付近での雪のロケーションを織り込み、原作独特のエロチシズムと美の世界を","連続ドラマ,　","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010160_00000",1970-05-30T22:10:00,1,0
"D0009010165_00000","大河ドラマ　春の坂道","かくれんぼ　（３）","1970-1971","徳川家康から始まる三代の将軍に側近として仕えた武人・柳生但馬守宗矩の生涯を描いた。柳生新陰流を確立し、剣と禅の道を政治や教育の場に生かし、平和思想に基づく歴史観や禅に根ざす日本人の精神文化にスポットを","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010165_00000",1971-12-26T19:59:59,1,0
"D0009010166_00000","連続テレビ小説　繭子ひとり",,1971,"両親と離れて育った娘・加野繭子が、故郷の青森・八戸の高校を卒業後に上京し、自分を捨てた母を捜し歩く。雑誌記者の仕事についた繭子は、母を捜す一方で、編集長・北川隆史との恋にも悩む。けなげに生きる中で、繭","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010166_00000",1971-04-05T08:15:00,1,0
"D0009010167_00000","金曜ドラマ　天下御免","最終回　さよならだけが人生さ","1971-1972","江戸時代、発明家の平賀源内が抜群の行動力と長崎で身につけた新知識を駆使し、権力に臆することなく次々に起こる難事件を解決する痛快時代劇。ゴミ問題、受験戦争など、放送当時の世相を絡め風刺を効かせた“ニュー","連続ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010167_00000",1971-10-08T19:59:59,1,0
"D0009010168_00000","特集ドラマ　さすらい",,1971,"教会の孤児院を出て東京の看板屋で働き始めた青年。現実に喪失感を抱く青年は、職場の先輩の失そうをきっかけに旅に出る。各地で出会う人々は彼の失われた家族なのか……。不確かな存在としての自己を見つめ、アイデ","連続ドラマ,特集","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010168_00000",1971-11-13T22:10:00,1,0
"D0009010169_00000","特集ドラマ　幻化",,1971,"過去の体験から精神を病んだ男が、機内で一緒になった営業マンと、原体験を求めて海軍基地だった鹿児島を放浪する。その舞台は特攻隊の基地があった知覧、主人公の戦友が溺死した坊津、本土決戦の場といわれた吹上浜","連続ドラマ,特集","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010169_00000",1971-08-07T22:10:00,1,0
"D0009010172_00000","連続テレビ小説　藍より青く","第１回",1972,"太平洋戦争のさなかに結婚し、18歳で夫を失った田宮真紀。息子を夫の忘れ形見に、終戦後を生きていく。熊本・天草から上京した真紀は、同じく戦争で夫を亡くした女性を集めて商売の道へ。苦しい時代を、前向きに力","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010172_00000",1972-04-03T08:15:00,1,0
"D0009010173_00000","金曜ドラマ　赤ひげ","第１９回　ひとり","1972-1973","江戸末期の小石川養生所を舞台に、貧困に苦しむ庶民のために力を尽くす医師“赤ひげ”と、彼と対立しながら次第に成長していく若い蘭方医の姿を描いた。総合（金）午後8時からの1時間番組で全49回。原作：山本周","連続ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010173_00000",1972-10-13T20:00:00,1,0
